Country,Year,MFN Simple Average (%)
Aruba,2021,8.94
Afghanistan,2021,9.9
Angola,2021,8.91
Anguila,2021,8.64
Albania,2021,9.26
Andorra,2021,9.7
United Arab Emirates,2021,8.62
Argentina,2021,8.88
Armenia,2021,10.05
American Samoa,2021,9.14
Antarctica,2021,7.78
Fr. So. Ant. Tr,2021,9.65
Antigua and Barbuda,2021,10.4
Australia,2021,8.59
Austria,2021,8.52
Azerbaijan,2021,9.57
Br. Antr. Terr,2021,9.3
Burundi,2021,10.27
Belgium,2021,8.58
Benin,2021,9.73
Bonaire,2021,8.23
Burkina Faso,2021,9.35
Bangladesh,2021,9.58
Bulgaria,2021,8.7
Bahrain,2021,8.94
"Bahamas, The",2021,9.3
Bosnia and Herzegovina,2021,9.1
Saint Barth,2021,9.16
Belarus,2021,8.62
Belize,2021,9.56
Bermuda,2021,8.93
Bolivia,2021,9.5
Brazil,2021,8.68
Barbados,2021,9.74
Brunei,2021,8.56
Bhutan,2021,9.65
Bunkers,2021,8.28
Bouvet Island,2021,9.04
Botswana,2021,9.59
Central African Republic,2021,9.01
Canada,2021,8.6
Cocos (Keeling) Islands,2021,8.2
Switzerland,2021,8.44
Chile,2021,8.96
China,2021,8.64
Cote d'Ivoire,2021,9.46
Cameroon,2021,9.46
"Congo, Rep.",2021,9.15
Cook Islands,2021,8.85
Colombia,2021,8.63
Comoros,2021,10.07
Cape Verde,2021,8.84
Costa Rica,2021,8.98
Cuba,2021,10.18
Cura√ßao,2021,9.68
Christmas Island,2021,8.1
Cayman Islands,2021,8.55
Cyprus,2021,9.86
Czech Republic,2021,8.33
Germany,2021,8.52
Djibouti,2021,9.11
Dominica,2021,10
Denmark,2021,8.73
Dominican Republic,2021,9.29
Algeria,2021,9.62
Ecuador,2021,9.36
"Egypt, Arab Rep.",2021,9.09
Eritrea,2021,9.54
Western Sahara,2021,8.11
Spain,2021,8.59
Estonia,2021,8.84
Ethiopia(excludes Eritrea),2021,9.93
Finland,2021,8.36
Fiji,2021,9.74
Falkland Island,2021,8.14
France,2021,8.65
Free Zones,2021,8.66
Faeroe Islands,2021,8.59
"Micronesia, Fed. Sts.",2021,9.38
Gabon,2021,8.41
United Kingdom,2021,8.69
Georgia,2021,9.34
Ghana,2021,9.31
Gibraltar,2021,8.3
Guinea,2021,9.29
"Gambia, The",2021,9.99
Guinea-Bissau,2021,8.99
Equatorial Guinea,2021,7.41
Greece,2021,8.98
Grenada,2021,10.01
Greenland,2021,8.03
Guatemala,2021,9.1
Guam,2021,9.29
Guyana,2021,10.18
"Hong Kong, China",2021,8.4
Heard Island and McDonald Isla,2021,9.62
Honduras,2021,9.5
Croatia,2021,8.9
Haiti,2021,10.83
Hungary,2021,8.79
Indonesia,2021,8.51
India,2021,8.47
British Indian Ocean Ter.,2021,9.06
Ireland,2021,8.96
"Iran, Islamic Rep.",2021,8.98
Iraq,2021,9.28
Iceland,2021,9.16
Israel,2021,8.62
Italy,2021,8.61
Jamaica,2021,11.05
Jordan,2021,9.67
Japan,2021,8.48
Kazakhstan,2021,8.88
Kenya,2021,9.08
Kyrgyz Republic,2021,9.68
Cambodia,2021,9.55
Kiribati,2021,8.3
St. Kitts and Nevis,2021,9.89
"Korea, Rep.",2021,8.47
Kuwait,2021,9.13
Lao PDR,2021,9.65
Lebanon,2021,9.5
Liberia,2021,9.21
Libya,2021,9.04
St. Lucia,2021,10.06
Sri Lanka,2021,9.35
Lesotho,2021,9.54
Lithuania,2021,8.7
Luxembourg,2021,9
Latvia,2021,8.82
Macao,2021,9.86
Morocco,2021,8.96
Moldova,2021,9.47
Madagascar,2021,10.07
Maldives,2021,9.6
Mexico,2021,8.54
Marshall Islands,2021,9.43
North Macedonia,2021,9.2
Mali,2021,9.36
Malta,2021,9.06
Myanmar,2021,9.57
Mongolia,2021,9.5
Northern Mariana Islands,2021,8.17
Montenegro,2021,9.15
Mozambique,2021,9
Mauritania,2021,9.58
Montserrat,2021,7.77
Mauritius,2021,8.93
Malawi,2021,10.03
Malaysia,2021,8.52
Namibia,2021,9.32
New Caledonia,2021,8.57
Niger,2021,9.27
Norfolk Island,2021,8.26
Nigeria,2021,9.13
Nicaragua,2021,9.99
Niue,2021,8.16
Netherlands,2021,8.72
Norway,2021,8.53
Nepal,2021,9.91
Nauru,2021,7.97
New Zealand,2021,8.97
"Other Asia, nes",2021,8.41
Oman,2021,9.15
Pakistan,2021,9.07
Panama,2021,8.79
Pitcairn,2021,9.29
Peru,2021,8.92
Philippines,2021,9.03
Palau,2021,8.29
Papua New Guinea,2021,8.58
Poland,2021,8.64
"Korea, Dem. Rep.",2021,8.03
Portugal,2021,8.75
Paraguay,2021,10.03
Occ.Pal.Terr,2021,11.97
French Polynesia,2021,9.06
Qatar,2021,8.86
Romania,2021,8.91
Russian Federation,2021,8.55
Rwanda,2021,10.05
Saudi Arabia,2021,8.69
Senegal,2021,9.33
"Serbia, FR",2021,8.77
Singapore,2021,8.5
South Georgia and the South Sa,2021,9.41
Saint Helena,2021,7.77
Solomon Islands,2021,10.08
Sierra Leone,2021,8.94
El Salvador,2021,8.99
San Marino,2021,8.79
Somalia,2021,8.71
Special Categories,2021,8.43
Saint Pierre and Miquelon,2021,9.67
South Sudan,2021,10.12
Sao Tome and Principe,2021,8.01
Sudan,2021,9.4
Suriname,2021,9.88
Slovak Republic,2021,8.51
Slovenia,2021,8.4
Sweden,2021,8.51
Eswatini,2021,8.89
Saint Maarten (Dutch part),2021,9.45
Seychelles,2021,8.49
Syrian Arab Republic,2021,10.87
Turks and Caicos Isl.,2021,9.54
Chad,2021,9.02
Togo,2021,9.89
Thailand,2021,8.6
Tajikistan,2021,9.15
Tokelau,2021,9.69
Turkmenistan,2021,9.49
East Timor,2021,9.06
Tonga,2021,9.99
Trinidad and Tobago,2021,9.58
Tunisia,2021,8.79
Turkey,2021,8.59
Tuvalu,2021,8.66
Tanzania,2021,9.45
Uganda,2021,9.49
Ukraine,2021,8.78
United States Minor Outlying I,2021,8.8
Unspecified,2021,8.6
Uruguay,2021,9.15
United States,2021,8.92
Uzbekistan,2021,9.29
Holy See,2021,9.43
St. Vincent and the Grenadines,2021,9.77
Venezuela,2021,9.35
British Virgin Islands,2021,8.91
Vietnam,2021,8.7
Vanuatu,2021,9.41
 World,2021,8.93
Wallis and Futura Isl.,2021,7.95
Samoa,2021,10.1
Yemen,2021,11.33
South Africa,2021,8.59
"Congo, Dem. Rep.",2021,9.77
Zambia,2021,9.18
Zimbabwe,2021,9.78
East Asia & Pacific,2021,8.68
Europe & Central Asia,2021,8.73
