Country,Year,World Growth (%),Country Growth (%),Export (US$ Thousand)
Aruba,2021,11.59,11.59,1525860.76
Afghanistan,2021,,,5916036
Angola,2021,10.39,10.39,12653996.54
Anguila,2021,,,236304.03
Albania,2021,19.56,19.56,12076545.76
Andorra,2021,2.27,2.27,3080441.42
United Arab Emirates,2021,18.63,18.63,269772885.5
Argentina,2021,22.14,22.14,65386155.68
Armenia,2021,9.37,9.37,5013378.9
American Samoa,2021,,,154593.45
Antarctica,2021,,,103139.22
Fr. So. Ant. Tr,2021,,,60342.62
Antigua and Barbuda,2021,,,1671451.25
Australia,2021,11.55,11.55,279420552.8
Austria,2021,13.19,13.19,198504368.7
Azerbaijan,2021,4.4,4.4,12656531.81
Br. Antr. Terr,2021,,,2.4
Burundi,2021,6.14,6.14,743517.64
Belgium,2021,15.67,15.67,464825537.1
Benin,2021,9.39,9.39,5297109.63
Bonaire,2021,,,780388.62
Burkina Faso,2021,6.16,6.16,3767305.57
Bangladesh,2021,,,80568124.28
Bulgaria,2021,15.09,15.09,45462924.71
Bahrain,2021,-4.38,-4.38,18033386.04
"Bahamas, The",2021,,,8844311.53
Bosnia and Herzegovina,2021,14.91,14.91,19007894.83
Saint Barth,2021,,,90588.95
Belarus,2021,12.96,12.96,46327623.82
Belize,2021,16.07,16.07,1437323.04
Bermuda,2021,8.04,8.04,2420565.78
Bolivia,2021,16.27,16.27,7431946.42
Brazil,2021,18.78,18.78,259319343.5
Barbados,2021,5.59,5.59,2033698.44
Brunei,2021,26.69,26.69,5952745.83
Bhutan,2021,,,1143520.99
Bunkers,2021,,,44275867.58
Bouvet Island,2021,,,1417.45
Botswana,2021,14.01,14.01,7327565.19
Central African Republic,2021,,,406990
Canada,2021,10.12,10.12,529223309.5
Cocos (Keeling) Islands,2021,,,12111.82
Switzerland,2021,5.52,5.52,506450948
Chile,2021,24.79,24.79,98636407.29
China,2021,13.89,13.89,2419607092
Cote d'Ivoire,2021,,,18188528.34
Cameroon,2021,,,9951558.77
"Congo, Rep.",2021,11.01,11.01,3733599.92
Cook Islands,2021,,,205170.48
Colombia,2021,18.53,18.53,66615595.42
Comoros,2021,28.62,28.62,449904.14
Cape Verde,2021,,,1478706.54
Costa Rica,2021,12.91,12.91,18612406.36
Cuba,2021,,,5603283.72
Cura√ßao,2021,,,1440137.13
Christmas Island,2021,,,36059.78
Cayman Islands,2021,7.34,7.34,10903184.58
Cyprus,2021,8.27,8.27,15469975.31
Czech Republic,2021,11.33,11.33,187704391.6
Germany,2021,10.2,10.2,1353626273
Djibouti,2021,,,8575241
Dominica,2021,,,714511.27
Denmark,2021,12.76,12.76,115774658.8
Dominican Republic,2021,18.93,18.93,25719477.58
Algeria,2021,,,51503438.6
Ecuador,2021,19.73,19.73,25064370.93
"Egypt, Arab Rep.",2021,10.63,10.63,121503620
Eritrea,2021,,,364390.13
Western Sahara,2021,,,37809.57
Spain,2021,13.67,13.67,381128434.5
Estonia,2021,16.73,16.73,25773935.95
Ethiopia(excludes Eritrea),2021,4.15,4.15,9895243.06
Finland,2021,12.41,12.41,81407267.8
Fiji,2021,10.57,10.57,2119389.86
Falkland Island,2021,,,201719.43
France,2021,10.75,10.75,683817002.8
Free Zones,2021,,,2812921.58
Faeroe Islands,2021,,,2362807.08
"Micronesia, Fed. Sts.",2021,,,135308.71
Gabon,2021,,,3039269.67
United Kingdom,2021,4.18,4.18,1010705115
Georgia,2021,11.98,11.98,12432700.47
Ghana,2021,,,24059892.82
Gibraltar,2021,,,15420639.54
Guinea,2021,,,6298034.46
"Gambia, The",2021,13.17,13.17,1879234.32
Guinea-Bissau,2021,,,594585.14
Equatorial Guinea,2021,,,1211491.76
Greece,2021,66.83,66.83,72209036.25
Grenada,2021,6.4,6.4,361180.03
Greenland,2021,,,1836980.4
Guatemala,2021,20.89,20.89,23291790.26
Guam,2021,,,876775.54
Guyana,2021,29.16,29.16,3290866.83
"Hong Kong, China",2021,11.56,11.56,750206748.8
Heard Island and McDonald Isla,2021,,,456.16
Honduras,2021,20.79,20.79,15639011.58
Croatia,2021,13.7,13.7,34820322.29
Haiti,2021,,,4750130.46
Hungary,2021,10.76,10.76,135105889.8
Indonesia,2021,17.72,17.72,202125597.3
India,2021,24.5,24.5,501730633.4
British Indian Ocean Ter.,2021,,,49412.27
Ireland,2021,11.11,11.11,100144839.5
"Iran, Islamic Rep.",2021,,,37902224.25
Iraq,2021,,,57670287.02
Iceland,2021,17.3,17.3,10693241.05
Israel,2021,15.35,15.35,116918781.2
Italy,2021,15.43,15.43,541322557
Jamaica,2021,11.98,11.98,5336113.7
Jordan,2021,12.55,12.55,25586379.06
Japan,2021,10.25,10.25,704318189.1
Kazakhstan,2021,3.14,3.14,54558408.45
Kenya,2021,12.78,12.78,24886099.46
Kyrgyz Republic,2021,28.36,28.36,13533117.59
Cambodia,2021,22.54,22.54,37816122.97
Kiribati,2021,,,172149.37
St. Kitts and Nevis,2021,,,309629.54
"Korea, Rep.",2021,14.69,14.69,599607208.2
Kuwait,2021,6.06,6.06,41825145.56
Lao PDR,2021,8.22,8.22,7130577.41
Lebanon,2021,10.47,10.47,20240124.34
Liberia,2021,,,18444756.54
Libya,2021,,,24681327.89
St. Lucia,2021,,,3626471.16
Sri Lanka,2021,17.38,17.38,20752701.77
Lesotho,2021,14.13,14.13,1614549.36
Lithuania,2021,15.55,15.55,40923728.89
Luxembourg,2021,10.58,10.58,29529665.52
Latvia,2021,15.47,15.47,25931764.47
Macao,2021,27.24,27.24,15969720.17
Morocco,2021,14.8,14.8,81145206.14
Moldova,2021,15.11,15.11,11171686.73
Madagascar,2021,17.01,17.01,4261222.63
Maldives,2021,,,2713587.44
Mexico,2021,15.01,15.01,510446816.1
Marshall Islands,2021,,,16427288.33
North Macedonia,2021,14.36,14.36,17577149.89
Mali,2021,,,6117296.25
Malta,2021,11.57,11.57,21411733.16
Myanmar,2021,-10.71,-10.71,23714433
Mongolia,2021,13.65,13.65,6894926.71
Northern Mariana Islands,2021,,,66618.39
Montenegro,2021,10.92,10.92,4596217.25
Mozambique,2021,15.73,15.73,18276924.4
Mauritania,2021,18.61,18.61,4587551.47
Montserrat,2021,,,19392.98
Mauritius,2021,10.39,10.39,5342370.67
Malawi,2021,7.12,7.12,1780692.79
Malaysia,2021,11.86,11.86,269840936.9
Namibia,2021,26.92,26.92,6961463.68
New Caledonia,2021,,,3345248.61
Niger,2021,-16.19,-16.19,2182991.53
Norfolk Island,2021,,,36084.64
Nigeria,2021,-3.1,-3.1,71524943.07
Nicaragua,2021,22.53,22.53,7499399.3
Niue,2021,,,38217.91
Netherlands,2021,13.48,13.48,699721383.8
Norway,2021,10.27,10.27,155577307.6
Nepal,2021,27.45,27.45,13437485
Nauru,2021,,,110097.58
New Zealand,2021,16.05,16.05,49928447.97
"Other Asia, nes",2021,,,375352620.6
Oman,2021,4.27,4.27,32956954.56
Pakistan,2021,26.19,26.19,72875923.26
Panama,2021,-4.89,-4.89,47818372.93
Pitcairn,2021,,,6191.21
Peru,2021,19.13,19.13,50828364.65
Philippines,2021,14.39,14.39,160694229.1
Palau,2021,,,135453.13
Papua New Guinea,2021,,,4385492.07
Poland,2021,14.77,14.77,347416542.2
"Korea, Dem. Rep.",2021,,,286944.74
Portugal,2021,12.37,12.37,94093227.59
Paraguay,2021,15.21,15.21,11782055.93
Occ.Pal.Terr,2021,13.63,13.63,1855939.72
French Polynesia,2021,8.1,8.1,2546415.42
Qatar,2021,4.08,4.08,39425790.64
Romania,2021,12.45,12.45,110204789.1
Russian Federation,2021,12.56,12.56,369704970.1
Rwanda,2021,0.4,0.4,2578028.36
Saudi Arabia,2021,7.83,7.83,173994994.4
Senegal,2021,11.42,11.42,18305116.32
"Serbia, FR",2021,13.51,13.51,56388198.18
Singapore,2021,11.24,11.24,366827604.7
South Georgia and the South Sa,2021,,,574.31
Saint Helena,2021,,,58277.72
Solomon Islands,2021,,,485871.84
Sierra Leone,2021,,,1924181.1
El Salvador,2021,21.59,21.59,12861289.34
San Marino,2021,,,808959.29
Somalia,2021,,,5249637.4
Special Categories,2021,,,85490755.68
Saint Pierre and Miquelon,2021,,,123020.14
South Sudan,2021,,,936088.77
Sao Tome and Principe,2021,9.75,9.75,211799.66
Sudan,2021,,,9597674.88
Suriname,2021,-5.08,-5.08,1818645.44
Slovak Republic,2021,11.22,11.22,93841001.82
Slovenia,2021,15.92,15.92,55272481.99
Sweden,2021,11.96,11.96,168148413.6
Eswatini,2021,15,15,1840828.18
Saint Maarten (Dutch part),2021,,,686994.65
Seychelles,2021,11.21,11.21,977788.85
Syrian Arab Republic,2021,,,5505023.48
Turks and Caicos Isl.,2021,,,464860.8
Chad,2021,,,1320752.16
Togo,2021,14.82,14.82,15459931.56
Thailand,2021,13.64,13.64,254099887.4
Tajikistan,2021,15.89,15.89,5106637.56
Tokelau,2021,,,15860.75
Turkmenistan,2021,,,5251422.43
East Timor,2021,,,835086.3
Tonga,2021,,,236483.74
Trinidad and Tobago,2021,8.69,8.69,6307026.16
Tunisia,2021,10.44,10.44,34481744.9
Turkey,2021,11.2,11.2,330886757
Tuvalu,2021,,,169502.57
Tanzania,2021,12.99,12.99,18365344.1
Uganda,2021,,,6524047.58
Ukraine,2021,14.17,14.17,99221760.72
United States Minor Outlying I,2021,,,64353.59
Unspecified,2021,,,700658405
Uruguay,2021,16.8,16.8,15304615.55
United States,2021,10.42,10.42,3291674759
Uzbekistan,2021,9.23,9.23,25792818.06
Holy See,2021,,,160258.68
St. Vincent and the Grenadines,2021,7.69,7.69,568836.9
Venezuela,2021,,,8045060.45
British Virgin Islands,2021,,,3791789.29
Vietnam,2021,12.51,12.51,357022783.5
Vanuatu,2021,,,404860.99
 World,2021,12.59,12.59,24227432526
Wallis and Futura Isl.,2021,,,76888.03
Samoa,2021,,,424488.18
Yemen,2021,,,13578010.13
South Africa,2021,16.42,16.42,119580111.1
"Congo, Dem. Rep.",2021,7.2,7.2,11061690.72
Zambia,2021,10.35,10.35,7876466.9
Zimbabwe,2021,22.52,22.52,5566423.9
East Asia & Pacific,2021,,,6544385775
Europe & Central Asia,2021,,,8895000033
Latin America & Caribbean,2021,,,1330556860
Middle East & North Africa,2021,,,1196712298
North America,2021,,,3823318635
South Asia,2021,,,699138012.1
Sub-Saharan Africa,2021,,,495100022.1
Aruba,2020,-15.44,-15.44,947687.43
Afghanistan,2020,,,7320206.74
Angola,2020,-18.22,-18.22,9697036.21
Anguila,2020,,,155603.51
Albania,2020,-4.3,-4.3,8579132.24
Andorra,2020,-1.45,-1.45,3039373.07
United Arab Emirates,2020,-7.47,-7.47,208073341.5
Argentina,2020,-7.15,-7.15,46597454.84
Armenia,2020,-6.24,-6.24,4225422.66
American Samoa,2020,,,135481.79
Antarctica,2020,,,48266.81
Fr. So. Ant. Tr,2020,,,44165.77
Antigua & Barbuda,2020,,,1009667.5
Australia,2020,-2.59,-2.59,225016351.1
Austria,2020,-3.45,-3.45,158037659.9
Azerbaijan,2020,-11.33,-11.33,11247462.37
Br. Antr. Terr,2020,,,0
Burundi,2020,1.23,1.23,704564.51
Belgium,2020,-3.92,-3.92,354167048.2
Benin,2020,-4.77,-4.77,4340221.75
Bonaire,2020,,,388627.55
Burkina Faso,2020,-0.95,-0.95,3696168.93
Bangladesh,2020,,,52597142.84
Bulgaria,2020,-3.69,-3.69,33226042.62
Bahrain,2020,-8.81,-8.81,14830082.34
"Bahamas, The",2020,-18.51,-18.51,7168088.67
Bosnia and Herzegovina,2020,-5.96,-5.96,14673959
Saint Barth√©lemy,2020,,,51904.22
Belarus,2020,-8.89,-8.89,36721836.33
Belize,2020,-10.65,-10.65,1088742.68
Bermuda,2020,-10.07,-10.07,2887818.41
Bolivia,2020,-14.9,-14.9,5613322.78
Brazil,2020,-7.2,-7.2,187127788.3
Barbados,2020,-2.56,-2.56,1560100.98
Brunei,2020,2.32,2.32,4012124.78
Bhutan,2020,,,924885.29
Bunkers,2020,,,30883692.78
Bouvet Island,2020,,,1012.29
Botswana,2020,-0.47,-0.47,6136856.34
Central African Republic,2020,-2.04,-2.04,442892.69
Canada,2020,-5.49,-5.49,443307739.3
Cocos (Keeling) Islands,2020,,,7008.08
Switzerland,2020,2.5,2.5,445958953.8
Chile,2020,-7.94,-7.94,65301621.91
China,2020,-0.23,-0.23,1943216340
Cote d'Ivoire,2020,0.21,0.21,13377002.02
Cameroon,2020,,,8535421.96
"Congo, Rep.",2020,-7.75,-7.75,3131656.52
Cook Islands,2020,,,103824.8
Colombia,2020,-9.16,-9.16,46803925.87
Comoros,2020,15.35,15.35,357672.83
Cape Verde,2020,19.69,19.69,1408755.07
Costa Rica,2020,-5.26,-5.26,14582358.8
Cuba,2020,,,5623182.38
Cura√ßao,2020,,,1305106.49
Christmas Island,2020,,,24447.75
Cayman Islands,2020,,,6662343.19
Cyprus,2020,-2.49,-2.49,10600865.45
Czech Republic,2020,-2.21,-2.21,152359595.8
Germany,2020,-2.73,-2.73,1092044662
Djibouti,2020,,,5696632.83
Dominica,2020,,,275599.71
Denmark,2020,-0.64,-0.64,93751518.61
Dominican Republic,2020,-11.8,-11.8,18263195.38
Algeria,2020,,,49552069.03
Ecuador,2020,-10.89,-10.89,17876783.64
"Egypt, Arab Rep.",2020,-11.7,-11.7,90884818.1
Eritrea,2020,,,423676.3
Western Sahara,2020,,,9222.51
Spain,2020,-6.29,-6.29,298552429.6
Estonia,2020,-2.46,-2.46,19515682.05
Ethiopia(excludes Eritrea),2020,-4.76,-4.76,10206811.9
Finland,2020,-3.77,-3.77,65265356.67
Fiji,2020,-21.12,-21.12,1508293.54
Falkland Island,2020,,,157010.12
France,2020,-4.81,-4.81,552748391.5
Free Zones,2020,,,2918244.71
Faeroe Islands,2020,,,2112477.84
"Micronesia, Fed. Sts.",2020,,,144255.07
Gabon,2020,,,3099018.99
United Kingdom,2020,-4.3,-4.3,892403713.4
Georgia,2020,-8.02,-8.02,9969997.82
Ghana,2020,,,19432441.24
Gibraltar,2020,,,11825106.64
Guinea,2020,,,5869928.8
"Gambia, The",2020,5.81,5.81,1629767.9
Guinea-Bissau,2020,,,464643.65
Equatorial Guinea,2020,,,1584251.8
Greece,2020,-5.51,-5.51,54096188.99
Grenada,2020,-9.32,-9.32,342480.26
Greenland,2020,,,1546871.4
Guatemala,2020,-4.3,-4.3,17135914.63
Guam,2020,,,638831.67
Guyana,2020,-21.29,-21.29,2374982.05
"Hong Kong, China",2020,-0.48,-0.48,609417722.1
Heard Island and McDonald Isla,2020,,,2117.91
Honduras,2020,-6.69,-6.69,10465037.4
Croatia,2020,-3.47,-3.47,26579232.17
Haiti,2020,,,4473864.07
Hungary,2020,-1.68,-1.68,107918977.3
Indonesia,2020,-9.08,-9.08,145945189.9
India,2020,-12.34,-12.34,330163051.3
British Indian,2020,,,45202.31
Ireland,2020,-1.21,-1.21,82510942.99
"Iran, Islamic Rep.",2020,,,31401238.92
Iraq,2020,,,51076736.27
Iceland,2020,-6.95,-6.95,7980489.18
Israel,2020,-4.9,-4.9,89014440.15
Italy,2020,-5.24,-5.24,410229235.4
Jamaica,2020,-13.64,-13.64,4828106.6
Jordan,2020,-6.22,-6.22,20204712.33
Japan,2020,-6.13,-6.13,593173166.6
Kazakhstan,2020,-0.99,-0.99,47389793.48
Kenya,2020,-5.39,-5.39,20051748.11
Kyrgyz Republic,2020,-17.61,-17.61,7762348.18
Cambodia,2020,-2.91,-2.91,26384611.6
Kiribati,2020,,,146573.09
St. Kitts and Nevis,2020,,,322599.11
"Korea, Rep.",2020,-3.61,-3.61,466456375.5
Kuwait,2020,-8.06,-8.06,34656347.81
Lao PDR,2020,-7.01,-7.01,6143724.42
Lebanon,2020,-23.18,-23.18,16163392.35
Liberia,2020,,,13472973.56
Libya,2020,,,16680565.1
St. Lucia,2020,-7.57,-7.57,3182134.05
Sri Lanka,2020,-10.48,-10.48,15756763.44
Lesotho,2020,-10.24,-10.24,1260467.31
Lithuania,2020,-3.48,-3.48,30323450.8
Luxembourg,2020,-4.03,-4.03,23372074.84
