Country,Year,MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Aruba,2021,85810.51,117249.38,0
Afghanistan,2021,892806.27,1991510.82,0
Angola,2021,27431410.24,34658270.17,0
Anguila,2021,1870.5,24871.04,0
Albania,2021,1818518.6,5840783.67,0
Andorra,2021,62932.87,207203.78,0
United Arab Emirates,2021,106041156.3,218014614.1,0
Argentina,2021,20071966.4,83135060.37,0
Armenia,2021,604358.04,3576963.73,0
American Samoa,2021,2313.63,26000.19,0
Antarctica,2021,958.05,11193.21,0
Fr. So. Ant. Tr,2021,1276.83,20770.78,0
Antigua and Barbuda,2021,55771.45,238509.61,0.02
Australia,2021,95198310.53,355702508.7,0
Austria,2021,16036443.33,58743443.13,0
Azerbaijan,2021,24404074.58,35308068.85,0
Br. Antr. Terr,2021,0.95,3.54,0
Burundi,2021,78300.46,195810.38,0
Belgium,2021,38553642.99,119473440.9,0
Benin,2021,872959.19,2092605.91,0
Bonaire,2021,3461.53,69909.39,0.27
Burkina Faso,2021,4333960.27,4827707.7,0
Bangladesh,2021,10762349.56,69330277.24,0
Bulgaria,2021,1944585.16,12429099.02,0
Bahrain,2021,1014758.39,13576872.6,0
"Bahamas, The",2021,48452.4,1168706.32,3.38
Bosnia and Herzegovina,2021,3755805.46,14882725.61,0
Saint Barth,2021,2166.12,6301.34,0.01
Belarus,2021,7389013.42,37133357.62,0
Belize,2021,251455.86,555616.25,0
Bermuda,2021,211593.21,408200.31,0
Bolivia,2021,4403708.9,10895244.6,0
Brazil,2021,76316443.82,326142392.3,0
Barbados,2021,132110.06,297293.09,180.46
Brunei,2021,2271739.09,9934591.85,0
Bhutan,2021,14175.3,370465.72,0
Bunkers,2021,315880.73,631151.21,0
Bouvet Island,2021,20.83,179.15,0
Botswana,2021,88319.45,7083324.41,0
Central African Republic,2021,68014,164644.92,0
Canada,2021,197348175.8,481967553.6,8.65
Cocos (Keeling) Islands,2021,3009.98,7654.25,0
Switzerland,2021,157253398.9,457490951.3,0.64
Chile,2021,10571617.44,102325325.5,0
China,2021,700806773.9,3601373715,56.42
Cote d'Ivoire,2021,2846305.96,18164974.52,0
Cameroon,2021,3256341.36,7410829.27,0
"Congo, Rep.",2021,5968139.75,10720013.41,0
Cook Islands,2021,27973.73,38408.01,0
Colombia,2021,29179585.93,48510813.98,0.14
Comoros,2021,646.14,77901.15,0
Cape Verde,2021,10851.63,207820.6,0
Costa Rica,2021,7532676.53,23401686.18,0
Cuba,2021,900849.31,1540083.74,0
Curaçao,2021,85196.57,395488.27,0
Christmas Island,2021,4436.82,16095.75,0
Cayman Islands,2021,4107160.21,4676717.77,0
Cyprus,2021,150948.45,1647795.41,0
Czech Republic,2021,11811612.24,42546722.61,0
Germany,2021,162762616.8,604188854.3,3999.87
Djibouti,2021,27586.44,198499.32,0
Dominica,2021,4909.08,25375.33,0
Denmark,2021,8418346.66,47774110.79,4.08
Dominican Republic,2021,4021795.82,12345355.89,0
Algeria,2021,19242625.43,56097086.57,0
Ecuador,2021,11685993.64,32023704.75,0
"Egypt, Arab Rep.",2021,10559753.36,42650910,0
Eritrea,2021,398992.35,623441.32,0
Western Sahara,2021,43.26,6627.95,0
Spain,2021,37928401.4,122863459.9,0
Estonia,2021,615642.91,5275688,0
Ethiopia(excludes Eritrea),2021,1734311.86,4078001.05,0
Finland,2021,6199697.55,34230488.69,0.36
Fiji,2021,403462.83,829225.77,0
Falkland Island,2021,1026.21,50097.82,0
France,2021,72259821.97,258702542.3,1765.27
Free Zones,2021,454552.87,3834847.15,0
Faeroe Islands,2021,147154.11,2185090.5,0
"Micronesia, Fed. Sts.",2021,597.05,133853.25,0
Gabon,2021,4444467.76,7296574.17,0
United Kingdom,2021,187434866.8,527588539.7,143.69
Georgia,2021,825539.05,4375698.28,0
Ghana,2021,9946058.61,16949930.08,0
Gibraltar,2021,59954.7,176573.1,0
Guinea,2021,5854729.42,10626386.73,0
"Gambia, The",2021,232988.5,350970.68,0
Guinea-Bissau,2021,7881.01,211195.85,0
Equatorial Guinea,2021,3964655.69,6271620.1,0
Greece,2021,1881356.07,15159935.24,0
Grenada,2021,6789.74,42997.14,0
Greenland,2021,11600.78,2081301.42,0
Guatemala,2021,2535924.51,14189660.63,0
Guam,2021,3326.1,28546.2,0
Guyana,2021,4281422.32,4937012.66,0
"Hong Kong, China",2021,35128507.96,93935928.06,8.97
Heard Island and McDonald Isla,2021,20.56,881.24,0
Honduras,2021,1515616,11649273.94,0.03
Croatia,2021,1063473.47,5199927.85,0
Haiti,2021,152994.68,1341360.22,0
Hungary,2021,9755879.16,33492597.09,0
Indonesia,2021,73869083.18,265247168.4,2.79
India,2021,59389872.48,387018262,0.05
British Indian Ocean Ter.,2021,862.74,12993.52,0
Ireland,2021,43050339.01,112419919.5,0
"Iran, Islamic Rep.",2021,1076245.1,15244162.87,0
Iraq,2021,97968892.67,105326150.5,0
Iceland,2021,408984.53,9920264.1,0
Israel,2021,19232515.65,72506907.02,0
Italy,2021,60069104.54,273511433,0
Jamaica,2021,358592.05,1250495.19,238.7
Jordan,2021,1282007.17,8167823.3,0
Japan,2021,236668030.9,820355154.6,28.76
Kazakhstan,2021,51334218.65,76782220.11,0
Kenya,2021,2521767.13,7665335.81,0
Kyrgyz Republic,2021,1815291.07,2765637,0
Cambodia,2021,6280230.73,32162338.15,0
Kiribati,2021,461.52,110437.33,0
St. Kitts and Nevis,2021,30853.14,80845.08,0
"Korea, Rep.",2021,170072429.5,712666996.9,0
Kuwait,2021,43026390.07,59023818.81,0
Lao PDR,2021,3521487.48,7763855.27,0
Lebanon,2021,1089678.17,3793758.85,0
Liberia,2021,380157.97,2436444.26,0
Libya,2021,48190145.53,53277302.27,0
St. Lucia,2021,1470472.67,3075206.3,0
Sri Lanka,2021,4513109.96,15321876.02,0
Lesotho,2021,80076.04,1239657.83,0
Lithuania,2021,2232590.69,11197256.5,0
Luxembourg,2021,441782.63,3897790.06,0
Latvia,2021,1060944.35,4289686.01,0
Macao,2021,312691.63,1610055.9,0
Morocco,2021,13556506.1,54864248.48,0
Moldova,2021,1165713.79,5922070.94,0
Madagascar,2021,467203.29,4253383.44,0
Maldives,2021,5991.97,328860.71,0
Mexico,2021,211233616.3,529987468.4,0
Marshall Islands,2021,182057.83,2197371.52,0
North Macedonia,2021,1805900.82,15999726.59,0
Mali,2021,9122686.58,9435619.26,0
Malta,2021,1041243.37,2643131.48,0
Myanmar,2021,2647917.69,22125373.64,0
Mongolia,2021,3550589.14,8283195.44,0
Northern Mariana Islands,2021,175.8,3599.47,0
Montenegro,2021,312859.67,1076007.73,0
Mozambique,2021,3150909.23,8203113.6,0
Mauritania,2021,710632.49,4189981.57,0
Montserrat,2021,1929.19,18116.06,0
Mauritius,2021,541994.36,2612336.72,0
Malawi,2021,804237.11,1175238.48,0
Malaysia,2021,140766772.1,413536640.3,0
Namibia,2021,1135173.9,6121959.14,0
New Caledonia,2021,11241.17,2089787.08,0
Niger,2021,3100821.88,3861256.29,0
Norfolk Island,2021,271.19,2958.46,0
Nigeria,2021,58314785.19,73057032.79,0
Nicaragua,2021,1857953.61,7387100.43,0
Niue,2021,303.94,5351.11,0
Netherlands,2021,36230738.74,157287724.1,0
Norway,2021,75141360.12,191303935.7,0
Nepal,2021,106812.51,1692647.04,0
Nauru,2021,4990.28,135809.24,0
New Zealand,2021,9613475.57,42811500.82,0
"Other Asia, nes",2021,245669899,673799700.6,0
Oman,2021,27669493.31,54121499.72,0
Pakistan,2021,9292123.62,36265055.87,0
Panama,2021,766791.05,8022840.22,271.95
Pitcairn,2021,2712.96,6428.33,0
Peru,2021,16059613.04,69517333.59,0
Philippines,2021,32731377.34,108083509.1,1
Palau,2021,3350.53,6150.29,0
Papua New Guinea,2021,2337923.74,12778869.01,0
