Country,Year,AHS Weighted Average (%),Country Growth (%)
Aruba,2021,2.81,11.59
Afghanistan,2021,2.24,
Angola,2021,1,10.39
Anguila,2021,5.7,
Albania,2021,2.52,19.56
Andorra,2021,1.53,2.27
United Arab Emirates,2021,2.95,18.63
Argentina,2021,10.56,22.14
Armenia,2021,1.18,9.37
American Samoa,2021,2.6,
Antarctica,2021,1.2,
Fr. So. Ant. Tr,2021,0.32,
Antigua and Barbuda,2021,1,
Australia,2021,3.25,11.55
Austria,2021,5.07,13.19
Azerbaijan,2021,0.44,4.4
Br. Antr. Terr,2021,2.69,
Burundi,2021,3.49,6.14
Belgium,2021,4.69,15.67
Benin,2021,0.32,9.39
Bonaire,2021,3.24,
Burkina Faso,2021,0.5,6.16
Bangladesh,2021,8.86,
Bulgaria,2021,4.27,15.09
Bahrain,2021,3.29,-4.38
"Bahamas, The",2021,0.55,
Bosnia and Herzegovina,2021,1.75,14.91
Saint Barth,2021,5.98,
Belarus,2021,3.56,12.96
Belize,2021,3.06,16.07
Bermuda,2021,1.48,8.04
Bolivia,2021,1.14,16.27
Brazil,2021,12.04,18.78
Barbados,2021,5.98,5.59
Brunei,2021,0.2,26.69
Bhutan,2021,0.59,
Bunkers,2021,0.83,
Bouvet Island,2021,11.77,
Botswana,2021,0.93,14.01
Central African Republic,2021,2.57,
Canada,2021,4.11,10.12
Cocos (Keeling) Islands,2021,3.11,
Switzerland,2021,2.8,5.52
Chile,2021,2.15,24.79
China,2021,5.61,13.89
Cote d'Ivoire,2021,2.85,
Cameroon,2021,2.01,
"Congo, Rep.",2021,0.86,11.01
Cook Islands,2021,2.19,
Colombia,2021,4.07,18.53
Comoros,2021,1.23,28.62
Cape Verde,2021,0.79,
Costa Rica,2021,4.35,12.91
Cuba,2021,18.31,
Cura√ßao,2021,4.09,
Christmas Island,2021,1.8,
Cayman Islands,2021,1.04,7.34
Cyprus,2021,9.35,8.27
Czech Republic,2021,4.24,11.33
Germany,2021,5.55,10.2
Djibouti,2021,6.75,
Dominica,2021,2.14,
Denmark,2021,6.57,12.76
Dominican Republic,2021,4.97,18.93
Algeria,2021,0.9,
Ecuador,2021,4.2,19.73
"Egypt, Arab Rep.",2021,2.93,10.63
Eritrea,2021,0.06,
Western Sahara,2021,0.19,
Spain,2021,7.38,13.67
Estonia,2021,3.12,16.73
Ethiopia(excludes Eritrea),2021,7.42,4.15
Finland,2021,3.5,12.41
Fiji,2021,7.05,10.57
Falkland Island,2021,6.94,
France,2021,6.51,10.75
Free Zones,2021,6.97,
Faeroe Islands,2021,3.78,
"Micronesia, Fed. Sts.",2021,3.8,
Gabon,2021,1.25,
United Kingdom,2021,3.7,4.18
Georgia,2021,1.47,11.98
Ghana,2021,1.37,
Gibraltar,2021,3.57,
Guinea,2021,0.4,
"Gambia, The",2021,15.9,13.17
Guinea-Bissau,2021,1.33,
Equatorial Guinea,2021,1.21,
Greece,2021,5.16,66.83
Grenada,2021,4.89,6.4
Greenland,2021,1.86,
Guatemala,2021,7.63,20.89
Guam,2021,5.45,
Guyana,2021,0.38,29.16
"Hong Kong, China",2021,3.45,11.56
Heard Island and McDonald Isla,2021,7.63,
Honduras,2021,7.8,20.79
Croatia,2021,3.98,13.7
Haiti,2021,6.34,
Hungary,2021,5,10.76
Indonesia,2021,4.3,17.72
India,2021,5.88,24.5
British Indian Ocean Ter.,2021,0.86,
Ireland,2021,4.35,11.11
"Iran, Islamic Rep.",2021,4.25,
Iraq,2021,0.84,
Iceland,2021,1.28,17.3
Israel,2021,1.72,15.35
Italy,2021,6.45,15.43
Jamaica,2021,7.34,11.98
Jordan,2021,3.6,12.55
Japan,2021,3.69,10.25
Kazakhstan,2021,1.34,3.14
Kenya,2021,8.31,12.78
Kyrgyz Republic,2021,0.36,28.36
Cambodia,2021,6.79,22.54
Kiribati,2021,3.24,
St. Kitts and Nevis,2021,2.34,
"Korea, Rep.",2021,2.57,14.69
Kuwait,2021,1.47,6.06
Lao PDR,2021,1.28,8.22
Lebanon,2021,3.28,10.47
Liberia,2021,0.52,
Libya,2021,0.31,
St. Lucia,2021,2.57,
Sri Lanka,2021,7.39,17.38
Lesotho,2021,2.43,14.13
Lithuania,2021,5.18,15.55
Luxembourg,2021,3.15,10.58
Latvia,2021,5.12,15.47
Macao,2021,5.55,27.24
Morocco,2021,4.51,14.8
Moldova,2021,2.46,15.11
Madagascar,2021,2.79,17.01
Maldives,2021,9.67,
Mexico,2021,4.72,15.01
Marshall Islands,2021,0.96,
North Macedonia,2021,1.56,14.36
Mali,2021,0.08,
Malta,2021,2.13,11.57
Myanmar,2021,4.67,-10.71
Mongolia,2021,1,13.65
Northern Mariana Islands,2021,1.35,
Montenegro,2021,0.91,10.92
Mozambique,2021,1.74,15.73
Mauritania,2021,0.79,18.61
Montserrat,2021,2.13,
Mauritius,2021,4.52,10.39
Malawi,2021,6.69,7.12
Malaysia,2021,2.71,11.86
Namibia,2021,3.57,26.92
New Caledonia,2021,0.91,
Niger,2021,2.34,-16.19
Norfolk Island,2021,4.34,
Nigeria,2021,0.92,-3.1
Nicaragua,2021,8.11,22.53
Niue,2021,0.81,
Netherlands,2021,6.49,13.48
Norway,2021,1.12,10.27
Nepal,2021,0.94,27.45
Nauru,2021,3.64,
New Zealand,2021,18.16,16.05
"Other Asia, nes",2021,2.38,
Oman,2021,1.94,4.27
Pakistan,2021,8.54,26.19
Panama,2021,3.02,-4.89
Pitcairn,2021,8.64,
Peru,2021,2.03,19.13
Philippines,2021,1.88,14.39
Palau,2021,0.64,
Papua New Guinea,2021,1.34,
Poland,2021,6.4,14.77
"Korea, Dem. Rep.",2021,6.29,
Portugal,2021,6.56,12.37
Paraguay,2021,39.57,15.21
Occ.Pal.Terr,2021,3.14,13.63
French Polynesia,2021,2.55,8.1
Qatar,2021,1.5,4.08
Romania,2021,5.22,12.45
Russian Federation,2021,1.85,12.56
Rwanda,2021,3.78,0.4
Saudi Arabia,2021,1.59,7.83
Senegal,2021,1.69,11.42
"Serbia, FR",2021,7.08,13.51
Singapore,2021,1.7,11.24
South Georgia and the South Sa,2021,4.35,
Saint Helena,2021,1.27,
Solomon Islands,2021,0.88,
Sierra Leone,2021,0.46,
El Salvador,2021,7.11,21.59
San Marino,2021,2.73,
Somalia,2021,1.19,
Special Categories,2021,0.22,
Saint Pierre and Miquelon,2021,0.54,
South Sudan,2021,3.8,
Sao Tome and Principe,2021,1.43,9.75
Sudan,2021,2.26,
Suriname,2021,0.49,-5.08
Slovak Republic,2021,8.96,11.22
Slovenia,2021,4.28,15.92
Sweden,2021,4.87,11.96
Eswatini,2021,6.99,15
Saint Maarten (Dutch part),2021,7.08,
Seychelles,2021,1.64,11.21
Syrian Arab Republic,2021,8.62,
Turks and Caicos Isl.,2021,4.11,
Chad,2021,0.05,
Togo,2021,3.45,14.82
Thailand,2021,5.9,13.64
Tajikistan,2021,2.72,15.89
Tokelau,2021,2.29,
Turkmenistan,2021,0.68,
East Timor,2021,1.75,
Tonga,2021,2.4,
Trinidad and Tobago,2021,1.01,8.69
Tunisia,2021,4.68,10.44
Turkey,2021,5.51,11.2
Tuvalu,2021,1.91,
Tanzania,2021,2.48,12.99
Uganda,2021,5.44,
Ukraine,2021,5.51,14.17
United States Minor Outlying I,2021,2.19,
Unspecified,2021,3.62,
Uruguay,2021,17.61,16.8
United States,2021,5.06,10.42
Uzbekistan,2021,2.1,9.23
Holy See,2021,1.32,
St. Vincent and the Grenadines,2021,0.51,7.69
Venezuela,2021,2.94,
British Virgin Islands,2021,2.46,
Vietnam,2021,4.39,12.51
Vanuatu,2021,3.97,
 World,2021,3.77,12.59
Wallis and Futura Isl.,2021,0.7,
Samoa,2021,1.78,
Yemen,2021,0.64,
South Africa,2021,2.8,16.42
"Congo, Dem. Rep.",2021,1.41,7.2
Zambia,2021,1,10.35
Zimbabwe,2021,2,22.52
East Asia & Pacific,2021,3.8,
Europe & Central Asia,2021,3.94,
Latin America & Caribbean,2021,6.71,
Middle East & North Africa,2021,2.14,
North America,2021,4.63,
South Asia,2021,5.96,
Sub-Saharan Africa,2021,1.82,
Aruba,2020,3.31,-15.44
Afghanistan,2020,1.91,
Angola,2020,0.99,-18.22
Anguila,2020,4.22,
Albania,2020,2.79,-4.3
Andorra,2020,1.09,-1.45
United Arab Emirates,2020,3.45,-7.47
Argentina,2020,9.69,-7.15
Armenia,2020,1.28,-6.24
American Samoa,2020,3.75,
Antarctica,2020,4.19,
Fr. So. Ant. Tr,2020,0.08,
Antigua & Barbuda,2020,0.2,
Australia,2020,3.39,-2.59
Austria,2020,5.07,-3.45
Azerbaijan,2020,0.44,-11.33
Br. Antr. Terr,2020,2.06,
Burundi,2020,7.83,1.23
Belgium,2020,4.76,-3.92
Benin,2020,0.21,-4.77
Bonaire,2020,2.89,
Burkina Faso,2020,2.92,-0.95
Bangladesh,2020,7.78,
Bulgaria,2020,4.6,-3.69
Bahrain,2020,2.99,-8.81
"Bahamas, The",2020,1.1,-18.51
Bosnia and Herzegovina,2020,2.3,-5.96
Saint Barth√©lemy,2020,4.51,
Belarus,2020,2.72,-8.89
Belize,2020,1.71,-10.65
Bermuda,2020,0.3,-10.07
Bolivia,2020,1.18,-14.9
Brazil,2020,9.84,-7.2
Barbados,2020,6.22,-2.56
Brunei,2020,0.19,2.32
Bhutan,2020,0.65,
Bunkers,2020,1.47,
Bouvet Island,2020,6.52,
Botswana,2020,0.94,-0.47
Central African Republic,2020,0.64,-2.04
Canada,2020,4.28,-5.49
Cocos (Keeling) Islands,2020,3.19,
Switzerland,2020,2.9,2.5
Chile,2020,2.17,-7.94
China,2020,5.98,-0.23
Cote d'Ivoire,2020,2.52,0.21
Cameroon,2020,2.11,
"Congo, Rep.",2020,0.71,-7.75
Cook Islands,2020,3.63,
Colombia,2020,4.18,-9.16
Comoros,2020,1.36,15.35
Cape Verde,2020,0.57,19.69
Costa Rica,2020,4.6,-5.26
Cuba,2020,17,
Cura√ßao,2020,6.87,
Christmas Island,2020,0.59,
Cayman Islands,2020,0.39,
Cyprus,2020,7.92,-2.49
Czech Republic,2020,4.41,-2.21
Germany,2020,5.86,-2.73
Djibouti,2020,7.01,
Dominica,2020,5.78,
Denmark,2020,7.45,-0.64
Dominican Republic,2020,4.24,-11.8
Algeria,2020,0.93,
Ecuador,2020,4.29,-10.89
"Egypt, Arab Rep.",2020,3.02,-11.7
Eritrea,2020,0.02,
Western Sahara,2020,0.22,
Spain,2020,7.79,-6.29
Estonia,2020,3.65,-2.46
Ethiopia(excludes Eritrea),2020,5.27,-4.76
Finland,2020,3.73,-3.77
Fiji,2020,7.61,-21.12
Falkland Island,2020,0.3,
France,2020,6.66,-4.81
Free Zones,2020,7.55,
Faeroe Islands,2020,3.03,
"Micronesia, Fed. Sts.",2020,4.24,
Gabon,2020,1.4,
United Kingdom,2020,5.38,-4.3
Georgia,2020,1.94,-8.02
Ghana,2020,1.58,
Gibraltar,2020,6.29,
Guinea,2020,0.42,
"Gambia, The",2020,3.43,5.81
Guinea-Bissau,2020,0.99,
Equatorial Guinea,2020,0.92,
Greece,2020,5.39,-5.51
Grenada,2020,0.87,-9.32
Greenland,2020,1.77,
Guatemala,2020,6.71,-4.3
Guam,2020,5.65,
Guyana,2020,0.59,-21.29
"Hong Kong, China",2020,3.23,-0.48
Heard Island and McDonald Isla,2020,4.15,
Honduras,2020,7.29,-6.69
Croatia,2020,4.14,-3.47
Haiti,2020,5.34,
Hungary,2020,4.87,-1.68
Indonesia,2020,4.7,-9.08
India,2020,6.12,-12.34
British Indian,2020,0.14,
Ireland,2020,4.6,-1.21
"Iran, Islamic Rep.",2020,3.9,
Iraq,2020,0.77,
Iceland,2020,1.75,-6.95
Israel,2020,2.04,-4.9
Italy,2020,6.47,-5.24
Jamaica,2020,3.72,-13.64
Jordan,2020,3.02,-6.22
Japan,2020,4.09,-6.13
Kazakhstan,2020,1.4,-0.99
Kenya,2020,8.01,-5.39
Kyrgyz Republic,2020,0.31,-17.61
Cambodia,2020,6.29,-2.91
Kiribati,2020,3.49,
St. Kitts and Nevis,2020,0.91,
"Korea, Rep.",2020,2.94,-3.61
Kuwait,2020,1.72,-8.06
Lao PDR,2020,1.48,-7.01
Lebanon,2020,2.94,-23.18
Liberia,2020,0.53,
Libya,2020,0.35,
St. Lucia,2020,0.34,-7.57
Sri Lanka,2020,6.99,-10.48
Lesotho,2020,1.26,-10.24
Lithuania,2020,7.11,-3.48
Luxembourg,2020,4.25,-4.03
Latvia,2020,6.86,-1.28
Macao,2020,4.77,-0.31
Morocco,2020,4.43,-6.61
Moldova,2020,2.18,-3.72
Madagascar,2020,3.03,-9.21
Maldives,2020,12.99,
Mexico,2020,4.4,-8.28
Marshall Islands,2020,0.96,
North Macedonia,2020,1.54,-3.98
Mali,2020,0.16,
Malta,2020,2.47,-16.42
Myanmar,2020,5.18,-1.75
Mongolia,2020,1.11,-7.01
Northern Mariana Islands,2020,2.22,
Montenegro,2020,1.49,-9.27
Mozambique,2020,1.71,-8.2
Mauritania,2020,0.94,-11.7
Montserrat,2020,1.08,-2.97
Mauritius,2020,3.24,-13.16
Malawi,2020,7,-3.77
Malaysia,2020,2.81,-3.63
Namibia,2020,2.92,-8.14
New Caledonia,2020,0.95,
Niger,2020,9.21,4.55
Norfolk Island,2020,3.13,
Nigeria,2020,1.04,8.2
Nicaragua,2020,5.19,-3.2
Niue,2020,0.09,
Netherlands,2020,6.8,-3.03
Norway,2020,1.41,-2.66
Nepal,2020,1.42,-11.08
Nauru,2020,3.25,
New Zealand,2020,15.89,-7.02
"Other Asia, nes",2020,2.27,
Oman,2020,2.32,10.12
Pakistan,2020,8.05,-4.38
Panama,2020,3.7,-17.24
Pitcairn,2020,0.35,
Peru,2020,2.03,-7.75
Philippines,2020,1.95,-9.95
Palau,2020,0.36,
Papua New Guinea,2020,2.85,
Poland,2020,6.39,1.61
"Korea, Dem. Rep.",2020,6.36,
Portugal,2020,6.79,-6.74
Paraguay,2020,29.92,-8.44
Occ.Pal.Terr,2020,1.38,-4.25
French Polynesia,2020,2.04,-10.06
Qatar,2020,1.55,-5.9
Romania,2020,5.34,-2.4
Russian Federation,2020,1.92,-3.19
Rwanda,2020,5.33,7.8
Saudi Arabia,2020,1.63,-4.62
Fm Sudan,2020,0,
Senegal,2020,2.83,-2.05
"Serbia, FR",2020,6.78,-0.94
Singapore,2020,2.07,-4.32
South Georgia and the South Sa,2020,2.95,
Saint Helena,2020,0.5,
Solomon Islands,2020,0.72,
Sierra Leone,2020,0.73,
El Salvador,2020,4.98,-7.68
San Marino,2020,2.39,
Somalia,2020,0.74,
Special Cate.,2020,0.11,
Saint Pierre and Miquelon,2020,0.91,
South Sudan,2020,2.34,
Sao Tome and Principe,2020,0.77,-3.31
Sudan,2020,3,
Suriname,2020,0.23,-5.35
Slovak Republic,2020,7.67,-3.31
Slovenia,2020,4.79,-2.18
Sweden,2020,5.13,-3.04
Eswatini,2020,5.7,-6.4
Saint Maarten,2020,9.48,
Seychelles,2020,1.48,1.94
Syrian Arab Republic,2020,8.06,
Turks and Caicos Isl.,2020,2.34,
Chad,2020,0.13,
Togo,2020,3.55,10.24
Thailand,2020,5.67,-2.12
Tajikistan,2020,1.82,-2.87
Tokelau,2020,2.76,
Turkmenistan,2020,0.31,
East Timor,2020,7.26,
Tonga,2020,2.78,
Trinidad and Tobago,2020,0.97,-12.29
Tunisia,2020,3.84,-7.53
Turkey,2020,5.9,2.16
Tuvalu,2020,0.98,
Tanzania,2020,3.39,-3.02
Uganda,2020,4.51,3.54
Ukraine,2020,5.42,-6.04
United States Minor Outlying I,2020,1.81,
Unspecified,2020,2.87,
Uruguay,2020,9.17,-4.22
United States,2020,4.96,-3.21
Uzbekistan,2020,0.83,-4.32
Holy See,2020,0.9,
St. Vincent and the Grenadines,2020,15.69,-2.12
Venezuela,2020,2.29,
British Virgin Islands,2020,0.92,
Vietnam,2020,4.53,1.54
Vanuatu,2020,3.87,
 World,2020,3.91,-3.75
Wallis and Futura Isl.,2020,0.29,
Samoa,2020,10.04,
Yemen,2020,0.76,
South Africa,2020,3.14,-11.51
"Congo, Dem. Rep.",2020,1.37,-13.11
Zambia,2020,0.94,-14.17
Zimbabwe,2020,4.54,2.68
East Asia & Pacific,2020,4.01,
Europe & Central Asia,2020,4.32,
